7270 東証1部 (株)ＳＵＢＡＲＵ（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2277","2295.5","2227","2242.5","5108200","2242.5"
"2019-01-07","2326.5","2340.5","2293","2327","4686500","2327"
"2019-01-08","2346","2374","2334.5","2355.5","3506600","2355.5"
"2019-01-09","2380","2403.5","2363","2398","2780900","2398"
"2019-01-10","2361.5","2399","2351.5","2390.5","2113800","2390.5"
"2019-01-11","2391","2429","2390.5","2419","2740200","2419"
"2019-01-15","2406.5","2447","2384","2446.5","2457300","2446.5"
"2019-01-16","2469.5","2502.5","2448","2497","3206700","2497"
"2019-01-17","2515","2542","2494.5","2506.5","2874500","2506.5"
"2019-01-18","2520.5","2542.5","2508.5","2535","2419700","2535"
"2019-01-21","2575","2580","2522.5","2566","2590700","2566"
"2019-01-22","2580","2585","2546","2557.5","1890200","2557.5"
"2019-01-23","2480","2494","2384","2469.5","9642400","2469.5"
"2019-01-24","2445","2498","2444.5","2487","3562300","2487"
"2019-01-25","2481","2525.5","2480","2503.5","3042100","2503.5"
"2019-01-28","2510","2539","2497","2502.5","2013300","2502.5"
"2019-01-29","2552.5","2568","2497.5","2530","3214600","2530"
"2019-01-30","2536.5","2553.5","2495","2511","2558500","2511"
"2019-01-31","2550","2576","2525.5","2552","2071500","2552"
"2019-02-01","2542.5","2561.5","2524.5","2535","1748300","2535"
"2019-02-04","2547","2557","2536","2552.5","2018600","2552.5"
"2019-02-05","2550.5","2555.5","2535","2540","1922200","2540"
"2019-02-06","2550","2563","2536.5","2544.5","1912400","2544.5"
"2019-02-07","2553","2701","2476","2697.5","7311600","2697.5"
"2019-02-08","2690","2735","2629","2655","6781600","2655"
"2019-02-12","2708","2809.5","2698.5","2809.5","5547800","2809.5"
"2019-02-13","2795","2817.5","2767","2807","3905300","2807"
"2019-02-14","2807","2812.5","2778","2779","2824300","2779"
"2019-02-15","2751","2799","2736.5","2793.5","3651800","2793.5"
"2019-02-18","2835","2853","2820.5","2853","2776400","2853"
"2019-02-19","2826.5","2868.5","2817.5","2865","2516800","2865"
"2019-02-20","2866","2877.5","2812.5","2823","3595400","2823"
"2019-02-21","2802","2833.5","2801","2819.5","2457200","2819.5"
"2019-02-22","2814","2828","2799","2822.5","1438300","2822.5"
"2019-02-25","2843.5","2859.5","2829","2844","1864800","2844"
"2019-02-26","2848","2866.5","2838","2842","1448300","2842"
"2019-02-27","2850","2869","2842.5","2846","2021800","2846"
"2019-02-28","2830","2838.5","2814","2826.5","2380700","2826.5"
"2019-03-01","2790.5","2832.5","2786","2830","2898900","2830"
"2019-03-04","2849.5","2864.5","2830","2863","2544300","2863"
"2019-03-05","2831.5","2847.5","2804.5","2804.5","2200600","2804.5"
"2019-03-06","2767.5","2770.5","2736","2761","3113700","2761"
"2019-03-07","2718","2734.5","2692","2692.5","3652300","2692.5"
"2019-03-08","2669.5","2687","2615","2618.5","4143600","2618.5"
"2019-03-11","2623.5","2675.5","2616","2658.5","2328800","2658.5"
"2019-03-12","2661","2707.5","2649","2666.5","3233800","2666.5"
"2019-03-13","2657.5","2668.5","2611.5","2628","2386500","2628"
"2019-03-14","2676.5","2693","2643.5","2663","2878000","2663"
"2019-03-15","2675.5","2707.5","2671","2686","3508400","2686"
"2019-03-18","2728.5","2732.5","2699.5","2716","1760500","2716"
"2019-03-19","2700.5","2720","2699","2708","1247300","2708"
"2019-03-20","2709.5","2725.5","2703.5","2712","1727300","2712"
"2019-03-22","2741.5","2742","2700","2736","2380500","2736"
"2019-03-25","2690","2694","2638","2680","3382200","2680"
"2019-03-26","2717","2781.5","2709.5","2781.5","5161300","2781.5"
"2019-03-27","2715","2735","2675","2682","4006700","2682"
"2019-03-28","2632","2640.5","2561.5","2593","3697400","2593"
"2019-03-29","2575","2585.5","2517","2522.5","4498400","2522.5"
"2019-04-01","2572.5","2607","2558.5","2586.5","3095400","2586.5"
"2019-04-02","2601","2628","2594.5","2621.5","2645400","2621.5"
"2019-04-03","2635.5","2669","2619.5","2664.5","2005300","2664.5"
"2019-04-04","2699.5","2712","2680","2696.5","2529900","2696.5"
"2019-04-05","2705","2772.5","2703","2759","3293600","2759"
"2019-04-08","2768","2780.5","2733.5","2748","2662300","2748"
"2019-04-09","2723","2757","2716","2752.5","1667400","2752.5"
"2019-04-10","2724.5","2737.5","2715","2735.5","1546500","2735.5"
"2019-04-11","2730.5","2782.5","2720.5","2777.5","2941800","2777.5"
"2019-04-12","2799.5","2807","2752.5","2766.5","2935400","2766.5"
"2019-04-15","2800","2800","2763.5","2763.5","2649400","2763.5"
"2019-04-16","2746","2803","2736","2798.5","2156100","2798.5"
"2019-04-17","2796.5","2845","2792","2842.5","2668900","2842.5"
"2019-04-18","2855","2890","2850","2857","3059900","2857"
"2019-04-19","2854.5","2865","2809.5","2818.5","2086800","2818.5"
"2019-04-22","2828.5","2836","2793.5","2795","1728100","2795"
"2019-04-23","2788","2796.5","2757.5","2772","1679400","2772"
"2019-04-24","2778","2783.5","2724.5","2732.5","2514800","2732.5"
"2019-04-25","2738.5","2760","2724","2748.5","2396000","2748.5"
"2019-04-26","2722.5","2728","2701","2720.5","1831600","2720.5"
"2019-05-07","2670.5","2674.5","2623.5","2630.5","3724200","2630.5"
"2019-05-08","2620.5","2624","2580","2599","3463800","2599"
"2019-05-09","2566.5","2571.5","2516.5","2520","3751500","2520"
"2019-05-10","2542","2587","2436.5","2453","6508700","2453"
"2019-05-13","2521","2578","2493.5","2565","4326800","2565"
"2019-05-14","2477","2512","2468","2506","2558800","2506"
"2019-05-15","2527","2577.5","2504","2574.5","3025000","2574.5"
"2019-05-16","2601.5","2622","2551.5","2565.5","2399100","2565.5"
"2019-05-17","2589.5","2594.5","2523.5","2584.5","2444600","2584.5"
"2019-05-20","2569","2589","2537.5","2576.5","1644500","2576.5"
"2019-05-21","2570","2593.5","2546","2585","2236000","2585"
"2019-05-22","2609.5","2633.5","2592","2607","2429500","2607"
"2019-05-23","2576","2587","2556","2573","2042300","2573"
"2019-05-24","2567","2583.5","2549","2581.5","2871100","2581.5"
