7261 東証1部 マツダ(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","1938","1978","1917","1975.5","7608300","1975.5"
"2017-01-05","1967.5","1974.5","1929.5","1943","6510600","1943"
"2017-01-06","1865","1913.5","1862","1881.5","10137500","1881.5"
"2017-01-10","1859","1881","1847","1855","7562400","1855"
"2017-01-11","1864.5","1884.5","1855","1860.5","6231600","1860.5"
"2017-01-12","1829","1849.5","1813","1833","6766900","1833"
"2017-01-13","1840","1867","1833","1860.5","5652600","1860.5"
"2017-01-16","1851","1860","1816.5","1825.5","4831900","1825.5"
"2017-01-17","1824","1833.5","1796.5","1796.5","5834600","1796.5"
"2017-01-18","1775","1804","1761.5","1800.5","8183800","1800.5"
"2017-01-19","1838","1849","1795","1808","6669900","1808"
"2017-01-20","1816.5","1823.5","1805","1813","4953000","1813"
"2017-01-23","1775","1786","1763","1770","5280600","1770"
"2017-01-24","1740","1749","1721","1730","6794600","1730"
"2017-01-25","1761","1772","1718.5","1729.5","6575700","1729.5"
"2017-01-26","1751.5","1752","1721","1729","6917500","1729"
"2017-01-27","1724.5","1737.5","1693","1736.5","8614800","1736.5"
"2017-01-30","1728","1739.5","1723","1734","5586300","1734"
"2017-01-31","1662.5","1684","1630.5","1668","9322000","1668"
"2017-02-01","1629","1656","1617","1639","9169000","1639"
"2017-02-02","1645","1656.5","1621.5","1625.5","6160300","1625.5"
"2017-02-03","1604","1627","1575","1594.5","11060200","1594.5"
"2017-02-06","1614.5","1616.5","1556","1567.5","7197000","1567.5"
"2017-02-07","1559.5","1562","1538.5","1556","6535100","1556"
"2017-02-08","1552","1561.5","1533.5","1549","5478500","1549"
"2017-02-09","1533.5","1534","1514.5","1519.5","5623700","1519.5"
"2017-02-10","1562","1612","1562","1589.5","10803300","1589.5"
"2017-02-13","1633","1647.5","1598.5","1604","9881000","1604"
"2017-02-14","1609.5","1613.5","1580","1583.5","6818000","1583.5"
"2017-02-15","1613","1617","1597.5","1610.5","5291600","1610.5"
"2017-02-16","1604","1612.5","1583.5","1601","4971000","1601"
"2017-02-17","1583","1596.5","1573.5","1591.5","5388700","1591.5"
"2017-02-20","1592","1601","1582.5","1588.5","3896200","1588.5"
"2017-02-21","1584","1624","1584","1620.5","4694500","1620.5"
"2017-02-22","1644.5","1644.5","1610","1623.5","6331600","1623.5"
"2017-02-23","1625","1628.5","1599.5","1604","6249500","1604"
"2017-02-24","1586.5","1607","1578.5","1601.5","4241300","1601.5"
"2017-02-27","1584","1590","1565","1573.5","5409600","1573.5"
"2017-02-28","1597","1607.5","1575.5","1576","6200500","1576"
"2017-03-01","1601","1652.5","1591.5","1649","11778500","1649"
"2017-03-02","1690","1690","1625","1627.5","9851400","1627.5"
"2017-03-03","1633","1639","1599.5","1610","6851500","1610"
"2017-03-06","1611.5","1623","1606","1614","3725300","1614"
"2017-03-07","1623","1631","1610.5","1620","4442800","1620"
"2017-03-08","1606","1611","1594","1606","4650800","1606"
"2017-03-09","1613.5","1621","1602","1619","4429100","1619"
"2017-03-10","1645","1678.5","1640","1674","8744400","1674"
"2017-03-13","1655","1676","1654","1666.5","5296300","1666.5"
"2017-03-14","1676","1679.5","1667.5","1674.5","3369400","1674.5"
"2017-03-15","1670.5","1673.5","1658.5","1669.5","3444900","1669.5"
"2017-03-16","1655","1655","1633","1651.5","5441100","1651.5"
"2017-03-17","1635","1637","1610.5","1618.5","6971300","1618.5"
"2017-03-21","1617","1634","1607.5","1622.5","5515100","1622.5"
"2017-03-22","1575","1587.5","1570","1578","5867700","1578"
"2017-03-23","1577.5","1599.5","1572.5","1594.5","4619400","1594.5"
"2017-03-24","1583.5","1605","1573","1599","5447400","1599"
"2017-03-27","1575.5","1576","1545.5","1558.5","7251600","1558.5"
"2017-03-28","1570","1589","1567.5","1588","4826300","1588"
"2017-03-29","1586","1606.5","1577","1595","4740300","1595"
"2017-03-30","1584","1606.5","1579.5","1590.5","4668300","1590.5"
"2017-03-31","1610","1644","1603","1603","9430400","1603"
"2017-04-03","1603","1607","1570.5","1581","5854000","1581"
"2017-04-04","1548","1548.5","1508.5","1532","11101500","1532"
"2017-04-05","1544","1549.5","1502","1515","7047700","1515"
"2017-04-06","1500","1509","1485","1493","6491100","1493"
"2017-04-07","1513.5","1529","1488","1502","6878100","1502"
"2017-04-10","1520","1565","1517","1531.5","7421900","1531.5"
"2017-04-11","1515.5","1539","1505","1537","4750700","1537"
"2017-04-12","1518","1518","1481","1493","7202900","1493"
"2017-04-13","1475","1477","1447.5","1473","6645700","1473"
"2017-04-14","1462","1482","1448.5","1472","4445800","1472"
"2017-04-17","1454.5","1465.5","1439","1463","4672700","1463"
"2017-04-18","1495","1510","1480.5","1481","5631200","1481"
"2017-04-19","1474.5","1498.5","1468.5","1489.5","4817900","1489.5"
"2017-04-20","1494","1525","1485.5","1503.5","5378900","1503.5"
"2017-04-21","1537.5","1542","1522.5","1537","6000800","1537"
"2017-04-24","1579.5","1584","1547.5","1550.5","5809300","1550.5"
"2017-04-25","1547","1580.5","1532","1578","6793400","1578"
"2017-04-26","1603.5","1641","1601","1636","11683800","1636"
"2017-04-27","1641","1661.5","1627","1646.5","8647600","1646.5"
"2017-04-28","1638","1648","1622.5","1634","6678900","1634"
