7261 東証1部 マツダ(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","1099","1110.5","1084.5","1109.5","5501300","1109.5"
"2019-01-07","1141","1159.5","1140.5","1147","4837900","1147"
"2019-01-08","1151","1179.5","1151","1172.5","4448200","1172.5"
"2019-01-09","1173","1195","1170","1186.5","4342800","1186.5"
"2019-01-10","1178.5","1190.5","1166.5","1173","4030700","1173"
"2019-01-11","1178","1191.5","1174","1183.5","3676400","1183.5"
"2019-01-15","1175.5","1183.5","1161.5","1167","4926600","1167"
"2019-01-16","1156.5","1171","1140","1166","4626700","1166"
"2019-01-17","1179","1186.5","1154","1170.5","4637500","1170.5"
"2019-01-18","1169.5","1194.5","1165","1190","4063000","1190"
"2019-01-21","1203.5","1218","1201","1211","4285400","1211"
"2019-01-22","1214.5","1223.5","1197.5","1204.5","2578000","1204.5"
"2019-01-23","1200","1202","1189.5","1194.5","2204300","1194.5"
"2019-01-24","1191","1208","1185","1206","2612200","1206"
"2019-01-25","1201","1218","1201","1216","2969400","1216"
"2019-01-28","1222.5","1232.5","1207","1210.5","2854300","1210.5"
"2019-01-29","1199","1205.5","1188","1196","3565000","1196"
"2019-01-30","1197","1202.5","1185","1190","3239600","1190"
"2019-01-31","1214","1219","1196","1199","3182800","1199"
"2019-02-01","1202","1206","1194.5","1201","2387400","1201"
"2019-02-04","1206","1221","1203","1219","2838000","1219"
"2019-02-05","1225","1226.5","1211.5","1215","2351300","1215"
"2019-02-06","1227","1229.5","1213","1222","2905000","1222"
"2019-02-07","1300","1329","1285","1300","14280100","1300"
"2019-02-08","1270","1288.5","1249.5","1260","7355900","1260"
"2019-02-12","1284","1308.5","1282.5","1294","4895500","1294"
"2019-02-13","1300","1318","1296.5","1307","5405400","1307"
"2019-02-14","1292.5","1301","1287","1296.5","3418000","1296.5"
"2019-02-15","1272.5","1278.5","1264.5","1272.5","4546800","1272.5"
"2019-02-18","1301.5","1305","1280.5","1283.5","2811700","1283.5"
"2019-02-19","1280.5","1283.5","1271.5","1278.5","2889500","1278.5"
"2019-02-20","1289.5","1296.5","1285.5","1290","2252300","1290"
"2019-02-21","1287","1304","1283","1289.5","3175900","1289.5"
"2019-02-22","1279","1288","1278.5","1286.5","1851500","1286.5"
"2019-02-25","1299","1303","1292","1298","2137000","1298"
"2019-02-26","1306.5","1309.5","1300","1302.5","2652200","1302.5"
"2019-02-27","1306","1315","1301","1312.5","2912200","1312.5"
"2019-02-28","1304","1311","1287.5","1307.5","3459800","1307.5"
"2019-03-01","1313.5","1322","1302.5","1319.5","3341100","1319.5"
"2019-03-04","1326","1329.5","1306","1307.5","3112300","1307.5"
"2019-03-05","1285","1296.5","1274.5","1279","4365500","1279"
"2019-03-06","1273","1285.5","1270","1277.5","2832700","1277.5"
"2019-03-07","1278","1281.5","1247.5","1251.5","4108400","1251.5"
"2019-03-08","1241","1249","1218","1221.5","4376800","1221.5"
