7270 東証1部 (株)ＳＵＢＡＲＵ（輸送用機器）,,,,,
"2018-04-11","3626","3629","3587","3592","2460400","3592"
"2018-04-12","3575","3575","3531","3536","3071100","3536"
"2018-04-13","3547","3590","3544","3576","3199400","3576"
"2018-04-16","3563","3584","3551","3577","2194600","3577"
"2018-04-17","3589","3612","3581","3599","2003500","3599"
"2018-04-18","3583","3612","3566","3605","2821100","3605"
"2018-04-19","3535","3548","3495","3524","6499500","3524"
"2018-04-20","3540","3540","3498","3514","3478400","3514"
"2018-04-23","3519","3553","3518","3542","3253500","3542"
"2018-04-24","3562","3620","3561","3616","3463500","3616"
"2018-04-25","3589","3618","3585","3616","2401000","3616"
"2018-04-26","3624","3679","3622","3663","4736800","3663"
"2018-04-27","3686","3704","3647","3679","3100000","3679"
"2018-05-01","3710","3729","3685","3722","3871800","3722"
"2018-05-02","3722","3736","3695","3717","2578800","3717"
"2018-05-07","3721","3726","3667","3684","2188100","3684"
"2018-05-08","3686","3698","3666","3676","1855200","3676"
"2018-05-09","3667","3681","3642","3662","1977000","3662"
"2018-05-10","3680","3713","3680","3692","2140000","3692"
"2018-05-11","3674","3715","3543","3607","6508400","3607"
"2018-05-14","3540","3576","3501","3568","4784900","3568"
"2018-05-15","3595","3595","3546","3550","2842200","3550"
"2018-05-16","3570","3586","3537","3559","2880600","3559"
"2018-05-17","3568","3581","3553","3555","2228500","3555"
"2018-05-18","3556","3570","3542","3564","2458000","3564"
"2018-05-21","3564","3581","3559","3559","2118600","3559"
"2018-05-22","3579","3611","3564","3580","2651100","3580"
"2018-05-23","3581","3645","3581","3583","3203500","3583"
"2018-05-24","3539","3548","3463","3494","6145900","3494"
"2018-05-25","3490","3490","3445","3457","2983600","3457"
"2018-05-28","3470","3473","3439","3449","1752400","3449"
"2018-05-29","3443","3459","3426","3451","2186000","3451"
"2018-05-30","3401","3415","3383","3406","3322100","3406"
"2018-05-31","3405","3409","3327","3330","5916300","3330"
"2018-06-01","3331","3388","3321","3365","3224800","3365"
"2018-06-04","3363","3449","3354","3444","3065900","3444"
"2018-06-05","3465","3482","3412","3437","5088600","3437"
"2018-06-06","3410","3448","3370","3389","6743800","3389"
"2018-06-07","3410","3480","3407","3466","4121300","3466"
"2018-06-08","3431","3449","3415","3420","3924500","3420"
"2018-06-11","3401","3427","3386","3403","2205700","3403"
"2018-06-12","3440","3455","3396","3405","2472100","3405"
"2018-06-13","3408","3434","3407","3421","1498000","3421"
"2018-06-14","3400","3420","3387","3396","2654200","3396"
"2018-06-15","3388","3399","3372","3389","2444100","3389"
"2018-06-18","3374","3376","3330","3338","2919000","3338"
"2018-06-19","3335","3382","3334","3341","3484200","3341"
"2018-06-20","3330","3349","3307","3341","3341000","3341"
"2018-06-21","3336","3376","3321","3349","3513100","3349"
"2018-06-22","3300","3300","3249","3280","4875300","3280"
"2018-06-25","3250","3252","3173","3184","4812400","3184"
"2018-06-26","3189","3244","3172","3201","3448100","3201"
"2018-06-27","3201","3211","3173","3207","2981000","3207"
"2018-06-28","3221","3262","3213","3233","3562500","3233"
"2018-06-29","3228","3231","3194","3225","2339000","3225"
"2018-07-02","3203","3214","3165","3169","2586600","3169"
"2018-07-03","3171","3174","3116","3132","3518900","3132"
"2018-07-04","3100","3128","3082","3117","2279500","3117"
"2018-07-05","3129","3173","3125","3135","4218300","3135"
"2018-07-06","3144","3205","3139","3173","3266300","3173"
"2018-07-09","3189","3213","3181","3197","2370600","3197"
"2018-07-10","3217","3242","3110","3168","6740900","3168"
"2018-07-11","3125","3137","3064","3117","4439500","3117"
"2018-07-12","3125","3126","3097","3120","2627800","3120"
"2018-07-13","3103","3133","3097","3125","3188400","3125"
"2018-07-17","3142","3201","3137","3179","3552500","3179"
"2018-07-18","3226","3233","3210","3218","1848300","3218"
"2018-07-19","3224","3224","3181","3201","2175800","3201"
"2018-07-20","3210","3231","3192","3202","2056600","3202"
"2018-07-23","3170","3189","3163","3183","2022000","3183"
"2018-07-24","3205","3216","3191","3204","1826700","3204"
"2018-07-25","3209","3242","3199","3215","2295600","3215"
"2018-07-26","3244","3250","3215","3231","2429900","3231"
"2018-07-27","3225","3248","3215","3242","2013000","3242"
"2018-07-30","3258","3272","3249","3255","2212400","3255"
"2018-07-31","3274","3282","3251","3254","3330900","3254"
"2018-08-01","3278","3295","3257","3283","2549100","3283"
"2018-08-02","3283","3290","3239","3253","2943900","3253"
"2018-08-03","3257","3274","3240","3266","2201800","3266"
"2018-08-06","3270","3285","3161","3232","4137200","3232"
"2018-08-07","3292","3368","3279","3342","5709100","3342"
"2018-08-08","3342","3345","3296","3321","3775100","3321"
"2018-08-09","3342","3349","3323","3337","2161100","3337"
"2018-08-10","3350","3351","3312","3319","2304900","3319"
"2018-08-13","3295","3297","3244","3260","2949700","3260"
"2018-08-14","3282","3298","3247","3291","2223000","3291"
"2018-08-15","3312","3339","3290","3303","2520500","3303"
"2018-08-16","3284","3317","3261","3306","3148500","3306"
"2018-08-17","3334","3350","3327","3343","2153900","3343"
"2018-08-20","3340","3342","3292","3338","2457900","3338"
"2018-08-21","3333","3340","3298","3309","2445900","3309"
"2018-08-22","3350","3380","3331","3376","3565600","3376"
"2018-08-23","3369","3374","3320","3338","2370500","3338"
"2018-08-24","3344","3353","3309","3320","1834100","3320"
"2018-08-27","3330","3332","3307","3320","1863400","3320"
"2018-08-28","3375","3387","3342","3347","2863600","3347"
"2018-08-29","3333","3350","3324","3340","2024700","3340"
"2018-08-30","3323","3330","3290","3312","2887700","3312"
"2018-08-31","3287","3319","3278","3301","2023200","3301"
"2018-09-03","3286","3290","3258","3265","1954600","3265"
"2018-09-04","3255","3259","3201","3217","2313100","3217"
"2018-09-05","3200","3211","3161","3171","3131600","3171"
"2018-09-06","3173","3202","3164","3166","2386100","3166"
"2018-09-07","3122","3125","3071","3089","3870600","3089"
"2018-09-10","3075","3089","3066","3073","2319000","3073"
"2018-09-11","3075","3083","3047","3061","3069700","3061"
"2018-09-12","3060","3082","3048","3059","3002000","3059"
"2018-09-13","3073","3113","3066","3103","2509000","3103"
"2018-09-14","3150","3165","3129","3165","4145700","3165"
"2018-09-18","3168","3243","3161","3231","3769000","3231"
"2018-09-19","3267","3305","3262","3269","3830500","3269"
"2018-09-20","3311","3332","3301","3308","3563400","3308"
"2018-09-21","3340","3370","3333","3370","4905700","3370"
"2018-09-25","3372","3400","3350","3400","4612700","3400"
"2018-09-26","3331","3361","3285","3316","3209500","3316"
"2018-09-27","3400","3464","3382","3403","6993500","3403"
"2018-09-28","3469","3498","3440","3480","6022200","3480"
"2018-10-01","3410","3415","3352","3407","4823300","3407"
"2018-10-02","3435","3473","3410","3418","3260600","3418"
"2018-10-03","3401","3427","3377","3404","3159900","3404"
"2018-10-04","3458","3487","3450","3474","4605400","3474"
"2018-10-05","3450","3485","3441","3454","3108500","3454"
"2018-10-09","3400","3417","3351","3372","4043500","3372"
"2018-10-10","3342","3370","3333","3338","2601000","3338"
"2018-10-11","3198","3279","3191","3240","5228500","3240"
"2018-10-12","3205","3284","3205","3266","3502600","3266"
"2018-10-15","3219","3247","3204","3226","2367100","3226"
"2018-10-16","3234","3286","3232","3280","2662700","3280"
"2018-10-17","3334","3343","3292","3326","2150100","3326"
"2018-10-18","3340","3342","3301","3303","2154100","3303"
"2018-10-19","3260","3298","3251","3291","1889600","3291"
"2018-10-22","3273","3316","3262","3295","1982800","3295"
"2018-10-23","3262","3265","3232","3235","2573900","3235"
"2018-10-24","3025","3073","3008","3008","10981000","3008"
"2018-10-25","2941.5","3027","2917","2990","7312400","2990"
"2018-10-26","3003","3037","2985","3014","4127300","3014"
"2018-10-29","3006","3038","2997","3006","1801600","3006"
"2018-10-30","3024","3041","3008","3012","2483100","3012"
"2018-10-31","3026","3056","3015","3053","3201400","3053"
"2018-11-01","3045","3075","3032","3050","2932200","3050"
"2018-11-02","3000","3052","2977.5","3048","4988500","3048"
"2018-11-05","2950","2970","2873.5","2895.5","6276000","2895.5"
"2018-11-06","2872.5","3021","2865","2947","6985400","2947"
"2018-11-07","2925","2940.5","2878","2886","5831700","2886"
"2018-11-08","2909","2909","2825","2829.5","5534000","2829.5"
"2018-11-09","2817.5","2817.5","2710.5","2718.5","7460900","2718.5"
"2018-11-12","2690","2694","2636.5","2674.5","5788000","2674.5"
"2018-11-13","2624.5","2628","2583","2602","6216000","2602"
"2018-11-14","2629","2708","2629","2674.5","5462200","2674.5"
"2018-11-15","2644","2661.5","2612","2630.5","3102400","2630.5"
"2018-11-16","2615","2629.5","2524.5","2532.5","6375900","2532.5"
"2018-11-19","2515","2565.5","2510","2526.5","3510900","2526.5"
"2018-11-20","2500","2552","2495","2551","3674300","2551"
"2018-11-21","2521.5","2586.5","2512.5","2581.5","4764000","2581.5"
"2018-11-22","2621","2625.5","2571.5","2611","3481100","2611"
"2018-11-26","2629","2654","2606.5","2620","2844400","2620"
"2018-11-27","2630","2630.5","2580.5","2603.5","3572600","2603.5"
"2018-11-28","2603","2615","2544","2573","3817500","2573"
"2018-11-29","2577","2588","2563.5","2575","2502300","2575"
"2018-11-30","2565","2580","2518.5","2523","6448800","2523"
"2018-12-03","2568.5","2626.5","2545.5","2607","4475400","2607"
"2018-12-04","2602","2624","2554","2555.5","4189100","2555.5"
"2018-12-05","2515","2539","2481","2532","4416500","2532"
"2018-12-06","2524.5","2558.5","2497","2505","3733200","2505"
"2018-12-07","2548.5","2553","2512.5","2527","2826200","2527"
"2018-12-10","2500","2504.5","2445.5","2462","3371900","2462"
"2018-12-11","2452","2455.5","2401","2402","4227600","2402"
"2018-12-12","2450","2509.5","2443","2485","4967500","2485"
"2018-12-13","2510","2543","2488","2530","2667300","2530"
"2018-12-14","2503","2514","2477","2480.5","3851500","2480.5"
"2018-12-17","2465","2493.5","2448","2465.5","2387200","2465.5"
"2018-12-18","2465","2490","2455","2457.5","2541300","2457.5"
"2018-12-19","2460.5","2483","2441","2458","2688600","2458"
"2018-12-20","2415.5","2435","2361","2371","3736400","2371"
"2018-12-21","2409","2415.5","2351","2366","5111200","2366"
"2018-12-25","2316","2316","2208.5","2210.5","4156000","2210.5"
"2018-12-26","2241.5","2294","2231","2272.5","3786800","2272.5"
"2018-12-27","2372.5","2398","2339.5","2392.5","4017700","2392.5"
"2018-12-28","2369","2391.5","2335","2360","2527800","2360"
